"point_id","time","lon","lat","ele","X","Y"
88,"2023/09/26 11:07:01+00",7.27778792381287,51.433923477307,70.2,810159.65,6698411.68
89,"2023/09/26 11:07:09+00",7.27780376560986,51.4340506307781,70.2,810161.41,6698434.39
90,"2023/09/26 11:07:14+00",7.2777980659157,51.4341128244996,70.4,810160.77,6698445.49
91,"2023/09/26 11:07:19+00",7.27779395878315,51.4341883454472,70.4,810160.32,6698458.98
92,"2023/09/26 11:07:26+00",7.27778851054609,51.4342960529029,70.4,810159.71,6698478.21
93,"2023/09/26 11:07:34+00",7.27778297849,51.4344206918031,70,810159.1,6698500.47
94,"2023/09/26 11:07:38+00",7.2777774464339,51.434481292963,70.6,810158.48,6698511.29
95,"2023/09/26 11:07:45+00",7.2777621075511,51.4345822110772,70.6,810156.77,6698529.31
96,"2023/09/26 11:07:54+00",7.27775137871504,51.4347277209163,70.6,810155.58,6698555.29
97,"2023/09/26 11:08:04+00",7.2777393925935,51.4348877314478,71,810154.24,6698583.87
98,"2023/09/26 11:08:07+00",7.27773545309901,51.4349306467921,71,810153.8,6698591.53
99,"2023/09/26 11:08:11+00",7.27776587940753,51.4349822793156,71,810157.19,6698600.75
100,"2023/09/26 11:08:17+00",7.27780602872372,51.4350771624595,71,810161.66,6698617.69
101,"2023/09/26 11:08:24+00",7.27790116332471,51.4351761527359,71.2,810172.25,6698635.37
102,"2023/09/26 11:08:31+00",7.27800384163857,51.4352637436241,71.2,810183.68,6698651.01
103,"2023/09/26 11:08:35+00",7.27808028459549,51.4353067427874,71.4,810192.19,6698658.69
104,"2023/09/26 11:08:42+00",7.27821573615074,51.435374468565,71.4,810207.27,6698670.78
105,"2023/09/26 11:08:47+00",7.27831531316042,51.4354118518531,71.4,810218.35,6698677.46
106,"2023/09/26 11:08:49+00",7.27836158126593,51.435427274555,71.6,810223.51,6698680.21
107,"2023/09/26 11:08:57+00",7.27855134755373,51.4354717824608,71.8,810244.63,6698688.16
108,"2023/09/26 11:09:02+00",7.27866106666625,51.4354956708848,72,810256.84,6698692.42
109,"2023/09/26 11:09:06+00",7.27875712327659,51.4355174638331,72,810267.54,6698696.32
110,"2023/09/26 11:09:09+00",7.27881998755038,51.4355300366879,72.2,810274.53,6698698.56
111,"2023/09/26 11:09:15+00",7.27895786985755,51.4355604629964,72.2,810289.88,6698703.99
112,"2023/09/26 11:09:22+00",7.2791210655123,51.4355880394578,72.4,810308.05,6698708.92
113,"2023/09/26 11:09:28+00",7.2792624682188,51.4355941582471,72.4,810323.79,6698710.01
114,"2023/09/26 11:09:29+00",7.27927923202515,51.4355945773423,72.4,810325.66,6698710.09
115,"2023/09/26 11:09:35+00",7.27941904217005,51.435607066378,72.4,810341.22,6698712.32
116,"2023/09/26 11:09:37+00",7.27946732193232,51.4356092456728,72.4,810346.6,6698712.71
117,"2023/09/26 11:09:44+00",7.27963328361511,51.4356157835573,72.6,810365.07,6698713.87
118,"2023/09/26 11:09:55+00",7.2798771969974,51.435609664768,73.2,810392.22,6698712.78
119,"2023/09/26 11:10:03+00",7.28006428107619,51.4356146100909,73.4,810413.05,6698713.66
120,"2023/09/26 11:10:06+00",7.28014240041375,51.4356164541095,73.4,810421.74,6698713.99
121,"2023/09/26 11:10:10+00",7.28023761883378,51.435625590384,73.6,810432.34,6698715.62
122,"2023/09/26 11:10:11+00",7.28026167489588,51.4356270153075,73.6,810435.02,6698715.88
123,"2023/09/26 11:10:17+00",7.28038899600506,51.4356472156942,73.6,810449.2,6698719.49
124,"2023/09/26 11:10:20+00",7.28045932017267,51.4356623031199,73.6,810457.02,6698722.18
125,"2023/09/26 11:10:24+00",7.28053257800639,51.4356818329543,73.6,810465.18,6698725.67
126,"2023/09/26 11:10:29+00",7.28065520524979,51.4357116725296,73.4,810478.83,6698731
127,"2023/09/26 11:10:36+00",7.28077808395028,51.4357704296708,73.4,810492.51,6698741.49
128,"2023/09/26 11:10:41+00",7.28087590076029,51.4358090702444,73.4,810503.4,6698748.39
129,"2023/09/26 11:10:44+00",7.28093566372991,51.4358374010772,73.4,810510.05,6698753.45
130,"2023/09/26 11:10:52+00",7.28110363706946,51.4358936436474,73.6,810528.75,6698763.49
